threshold,precision_unsafe,recall_unsafe,f1_unsafe,accuracy
0.0,0.49719101123595505,1.0,0.6641651031894934,0.49719101123595505
0.005,0.6679245283018868,1.0,0.8009049773755657,0.7528089887640449
0.01,0.7283950617283951,1.0,0.8428571428571429,0.8146067415730337
0.015,0.759656652360515,1.0,0.8634146341463415,0.8426966292134831
0.02,0.7763157894736842,1.0,0.8740740740740741,0.8567415730337079
0.025,0.7866666666666666,1.0,0.8805970149253731,0.8651685393258427
0.03,0.8082191780821918,1.0,0.8939393939393939,0.8820224719101124
0.035,0.8194444444444444,1.0,0.9007633587786259,0.8904494382022472
0.04,0.8194444444444444,1.0,0.9007633587786259,0.8904494382022472
0.045,0.8232558139534883,1.0,0.9030612244897959,0.8932584269662921
0.05,0.8309859154929577,1.0,0.9076923076923077,0.898876404494382
0.055,0.8509615384615384,1.0,0.9194805194805195,0.9129213483146067
0.06,0.855072463768116,1.0,0.921875,0.9157303370786517
0.065,0.8592233009708737,1.0,0.9242819843342036,0.9185393258426966
0.07,0.8762376237623762,1.0,0.9340369393139841,0.9297752808988764
0.075,0.8805970149253731,1.0,0.9365079365079365,0.9325842696629213
0.08,0.8805970149253731,1.0,0.9365079365079365,0.9325842696629213
0.085,0.8894472361809045,1.0,0.9414893617021277,0.9382022471910112
0.09,0.9076923076923077,1.0,0.9516129032258065,0.949438202247191
0.095,0.9076923076923077,1.0,0.9516129032258065,0.949438202247191
0.1,0.9076923076923077,1.0,0.9516129032258065,0.949438202247191
0.105,0.9123711340206185,1.0,0.954177897574124,0.952247191011236
0.11,0.9123711340206185,1.0,0.954177897574124,0.952247191011236
0.115,0.9123711340206185,1.0,0.954177897574124,0.952247191011236
0.12,0.917098445595855,1.0,0.9567567567567568,0.9550561797752809
0.125,0.921875,1.0,0.959349593495935,0.9578651685393258
0.13,0.921875,1.0,0.959349593495935,0.9578651685393258
0.135,0.921875,1.0,0.959349593495935,0.9578651685393258
0.14,0.921875,1.0,0.959349593495935,0.9578651685393258
0.145,0.921875,1.0,0.959349593495935,0.9578651685393258
0.15,0.921875,1.0,0.959349593495935,0.9578651685393258
0.155,0.921875,1.0,0.959349593495935,0.9578651685393258
0.16,0.921875,1.0,0.959349593495935,0.9578651685393258
0.165,0.9315789473684211,1.0,0.9645776566757494,0.9634831460674157
0.17,0.9414893617021277,1.0,0.9698630136986301,0.9691011235955056
0.17500000000000002,0.9414893617021277,1.0,0.9698630136986301,0.9691011235955056
0.18,0.946524064171123,1.0,0.9725274725274725,0.9719101123595506
0.185,0.9516129032258065,1.0,0.9752066115702479,0.9747191011235955
0.19,0.9516129032258065,1.0,0.9752066115702479,0.9747191011235955
0.195,0.9567567567567568,1.0,0.9779005524861878,0.9775280898876404
0.2,0.9567567567567568,1.0,0.9779005524861878,0.9775280898876404
0.20500000000000002,0.9567567567567568,1.0,0.9779005524861878,0.9775280898876404
0.21,0.9567567567567568,1.0,0.9779005524861878,0.9775280898876404
0.215,0.9567567567567568,1.0,0.9779005524861878,0.9775280898876404
0.22,0.9567567567567568,1.0,0.9779005524861878,0.9775280898876404
0.225,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.23,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.23500000000000001,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.24,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.245,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.25,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.255,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.26,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.265,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.27,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.275,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.28,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.28500000000000003,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.29,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.295,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.3,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.305,0.9619565217391305,1.0,0.9806094182825484,0.9803370786516854
0.31,0.9672131147540983,1.0,0.9833333333333333,0.9831460674157303
0.315,0.9672131147540983,1.0,0.9833333333333333,0.9831460674157303
0.32,0.9672131147540983,1.0,0.9833333333333333,0.9831460674157303
0.325,0.9725274725274725,1.0,0.9860724233983287,0.9859550561797753
0.33,0.9725274725274725,1.0,0.9860724233983287,0.9859550561797753
0.335,0.9725274725274725,1.0,0.9860724233983287,0.9859550561797753
0.34,0.9725274725274725,1.0,0.9860724233983287,0.9859550561797753
0.34500000000000003,0.9725274725274725,1.0,0.9860724233983287,0.9859550561797753
0.35000000000000003,0.9725274725274725,1.0,0.9860724233983287,0.9859550561797753
0.355,0.9725274725274725,1.0,0.9860724233983287,0.9859550561797753
0.36,0.9725274725274725,1.0,0.9860724233983287,0.9859550561797753
0.365,0.9725274725274725,1.0,0.9860724233983287,0.9859550561797753
0.37,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
0.375,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
0.38,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
0.385,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
0.39,0.9779005524861878,1.0,0.9888268156424581,0.9887640449438202
